GTA06,Population,Worked in 2010_Full-time,Worked in 2010_Part-time,Worked at home,Avg Pop Density,Avg Median Age,Family Size 2,Family Size 3,Family Size 4,Family Size 5+,Avg Median income,Avg Average income,15+_No certificate/diploma/degree,15+_HS diploma/equivalent,15+_Post HS diploma,15+_Apprentice/trades certificate,15+_College certificate/diploma,15+_University <bachelor's,15+_University bachelor's+,15+_University_Bachelor's degree,15+_University_Above bachelor's,In labour force,In labour force_Employed,In labour force_Unemployed,Not in labour force,Avg Participation rate,Avg Employment rate,Avg Unemployment rate,Mode to work_Drove car/truck/van,Mode to work_Rode in car/truck/van,Mode to work_Public transit,Mode to work_Walked,Mode to work_Bicycle,Mode to work_Other methods,Avg Median commuting duration
5037,3135.60957,1355.753797,294.816744,52.748868,1899.96007,35.032295,244.626933,196.507487,296.76228,124.436723,37909.51802,43519.11122,345.514967,754.480261,1217.017868,198.799435,487.035283,90.945797,440.248614,261.012166,181.605197,1703.519907,1619.311165,84.20872,611.108936,73.581976,69.96236,4.928596,1370.039155,93.324233,31.435511,54.962126,0.022565,0.045258,20.401847
5039,715.266742,249.799623,77.640112,13.502832,384.196068,40.000675,87.807072,50.654592,47.279461,23.640054,27879.03119,36909.03175,148.528012,172.157849,281.868093,40.508107,129.963002,28.693008,82.703971,52.322898,28.693267,362.883841,325.75186,37.131977,239.670113,60.400041,54.200047,10.199986,254.863235,21.941744,27.004959,0.000036,0,0.000024,20.600023
5044,3196.120229,1448.094498,350.820723,65.835669,2248.680005,39.580563,317.796367,227.301644,256.428576,102.255709,33117.95314,40409.12884,464.695429,777.147922,1328.042452,206.689251,696.027096,71.140991,356.653144,259.455051,94.220538,1905.456557,1736.645434,168.561375,664.429247,74.165485,67.552041,8.777551,1441.220321,76.316862,98.088421,31.643773,5.435553,11.620348,20.699662
5052,965.04985,336.707997,103.64321,18.191232,420.047859,40.172546,123.168566,67.593173,62.47808,30.619661,27975.57284,36823.82834,200.96144,229.907441,380.737397,59.65386,176.485529,36.55363,108.101863,68.125305,37.914766,485.588457,436.495711,49.061366,325.989493,60.180649,54.040837,10.127995,340.086766,30.068285,36.214838,1.436213,0,0.00613,20.590632
5043,815.374656,291.930528,93.845771,15.70965,555.148254,38.797563,91.146995,57.333047,59.266634,27.943031,28267.85111,36530.50658,149.891891,197.303594,310.688213,50.774439,147.364677,29.802651,82.746446,54.300059,26.938364,421.611052,381.143593,40.20707,236.012256,62.454767,56.254765,9.871929,287.60135,27.155616,35.585559,7.290906,0,1.041558,20.617268
5062,1604.681719,601.34551,146.611869,47.560904,2157.76111,43.973971,255.927483,101.066726,82.092,29.079561,30919.0953,37335.12084,289.587445,441.204847,642.827264,185.607694,321.746562,40.897322,97.937466,61.95647,34.256157,793.894075,715.834206,76.334921,583.088302,57.856388,52.112394,9.593174,543.047345,42.968406,63.191397,10.483158,0,0.17519,20.502592
5068,4049.461543,1414.265792,414.42446,35.392789,4290.138693,44.995044,525.133433,259.748319,264.483759,119.66899,28156.70592,36895.75,898.370244,915.199063,1553.978615,300.576257,764.563665,164.549349,319.360462,199.609936,124.699909,1938.629052,1773.606472,165.001487,1433.932123,57.601133,52.697186,8.505271,1398.634444,139.719328,179.740322,20.012903,0,0,20.599578
5089,2879.366367,1078.74122,263.307946,85.579019,2172.990912,43.98885,459.423453,181.039301,147.166073,52.124517,30918.26524,37356.86609,518.651703,792.659834,1154.336472,333.53197,578.263347,73.45899,175.167476,110.714864,61.374072,1424.626059,1284.099818,137.447701,1047.105712,57.826592,52.053336,9.649095,974.373424,76.831571,113.374678,18.581214,0,0.146633,20.50109
5101,1646.391025,637.984498,136.075233,32.229214,1219.457052,43.039386,251.927862,124.799783,92.28422,32.762119,31044.63428,35842.65183,364.773251,384.219007,602.201657,157.994554,268.370844,35.339061,140.472154,95.165338,42.473668,809.760385,761.402537,45.495964,541.359433,59.990198,56.37151,5.546699,561.228162,62.884574,66.216055,26.942491,0.203397,11.332596,20.592196
5114,2592.74378,1000.825477,364.533345,20.621686,3171.24387,46.910048,400.891881,185.529923,125.70251,60.143823,29201.16437,41251.26847,653.604583,542.996048,1157.588008,156.902472,550.512967,89.74664,370.168813,220.426372,149.764654,1405.74517,1320.210979,85.582272,948.382875,59.543153,55.928899,6.110895,1056.864616,95.390968,121.263216,0.84229,0,0.052368,20.10362
