UNIQUEID,BUSNAME,Class,LATITUDE,LONGITUDE
38651634,A & W FAMILY RESTAURANT,Hamburger,43.649639,-79.889113
38656914,A & W FAMILY RESTAURANT,Hamburger,43.921284,-80.087746
42804500,A & W FAMILY RESTAURANT,Hamburger,43.608938,-79.691721
44013431,A & W FAMILY RESTAURANT,Hamburger,44.058005,-79.481254
45696705,A & W FAMILY RESTAURANT,Hamburger,43.605933,-79.587473
46367074,A & W FAMILY RESTAURANT,Hamburger,43.785005,-79.185418
37823309,A & W RESTAURANT,Hamburger,44.033561,-79.47556
53013488,A & W TRADING INTL,Hamburger,43.710382,-79.297848
46229340,A & W VAUGHAN MILLS CTR,Hamburger,43.82283,-79.53325
49209448,A&W RESTAURANT AJAX,Hamburger,43.846251,-79.019544
13423504,BURGER KING,Hamburger,43.62471,-79.605312
13423520,BURGER KING,Hamburger,43.592269,-79.639204
13423629,BURGER KING,Hamburger,43.593863,-79.564564
13423710,BURGER KING,Hamburger,43.701932,-79.742215
13423843,BURGER KING,Hamburger,43.837932,-79.026261
13423926,BURGER KING,Hamburger,43.61902,-79.669363
13423975,BURGER KING,Hamburger,43.596476,-79.734761
13424015,BURGER KING,Hamburger,43.830269,-79.306754
13424163,BURGER KING,Hamburger,43.707387,-79.395822
13424189,BURGER KING,Hamburger,43.650163,-79.535524
13424197,BURGER KING,Hamburger,43.751816,-79.544104
13424205,BURGER KING,Hamburger,43.654961,-79.380179
13424213,BURGER KING,Hamburger,43.751409,-79.265433
24216640,BURGER KING,Hamburger,43.776018,-79.41447
25435876,BURGER KING,Hamburger,43.639506,-79.425024
26121160,BURGER KING,Hamburger,43.713801,-79.456619
29180569,BURGER KING,Hamburger,43.893007,-79.442145
29859311,BURGER KING,Hamburger,43.522318,-79.681139
29938297,BURGER KING,Hamburger,43.577915,-79.653428
30696884,BURGER KING,Hamburger,43.661111,-79.329128
32182693,BURGER KING,Hamburger,43.707842,-79.342479
