"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"

5370035.00,0035.00,29.50,31.50,36.10,30.60,21.10,10.60,240.00,200.00,40.00,555.00,340.00,215.00,795.00,3360.00,2520.00,805.00,220.00,80.00,130.00,140.00,240.00,70.00,70.00
5370036.00,0036.00,40.90,50.00,55.20,41.70,23.30,11.80,140.00,115.00,25.00,360.00,220.00,140.00,500.00,2545.00,1420.00,825.00,95.00,105.00,125.00,250.00,255.00,115.00,130.00
5370037.00,0037.00,47.00,48.10,42.90,47.40,45.90,12.40,75.00,55.00,20.00,310.00,235.00,75.00,390.00,2540.00,1430.00,925.00,200.00,140.00,205.00,205.00,180.00,135.00,65.00
5370038.00,0038.00,30.40,38.20,40.90,30.90,26.40,8.30,145.00,115.00,25.00,585.00,375.00,210.00,730.00,3935.00,2720.00,1100.00,410.00,80.00,145.00,150.00,320.00,55.00,100.00
5370039.00,0039.00,25.60,33.30,30.80,26.50,13.80,7.80,200.00,175.00,30.00,955.00,585.00,370.00,1155.00,5155.00,3710.00,1200.00,280.00,100.00,210.00,300.00,310.00,105.00,200.00
5370040.00,0040.00,12.20,10.90,8.70,12.70,9.10,5.50,80.00,60.00,20.00,435.00,300.00,130.00,510.00,1905.00,1595.00,290.00,130.00,30.00,35.00,45.00,50.00,25.00,25.00
5370041.00,0041.00,24.90,24.00,15.40,27.50,11.50,6.90,100.00,85.00,15.00,340.00,205.00,135.00,440.00,1950.00,1560.00,345.00,155.00,35.00,40.00,40.00,75.00,25.00,20.00
5370042.00,0042.00,10.70,7.50,2.90,11.80,7.60,4.60,150.00,115.00,35.00,575.00,430.00,145.00,725.00,2595.00,2185.00,390.00,210.00,35.00,45.00,50.00,50.00,25.00,30.00
5370043.00,0043.00,34.00,32.30,31.00,39.10,10.00,13.50,160.00,125.00,30.00,570.00,470.00,100.00,725.00,3535.00,2050.00,1115.00,175.00,70.00,295.00,325.00,255.00,180.00,145.00
5370044.00,0044.00,22.80,31.30,35.70,25.40,9.10,10.00,255.00,205.00,45.00,810.00,625.00,185.00,1065.00,4180.00,2750.00,1230.00,455.00,70.00,205.00,250.00,240.00,75.00,180.00
