TRACT,CTNAME,LICO_AT_ALL,Unemployment_Rate,LONE_PARENT,LONE_PARENT_F,LONE_PARENT_M,TOTAL_FAMILIES,POPULATION,COL16,IMMIGRANTS,IMM_1981,IMM_81_TO_90,IMM_91_00,IMM_01_TO_10,IMM_11_TO16
5370072.04,72.04,8.6,8.7,205,165,40,1010,3445,2180,1240,555,180,220,150,130
5370073.00,73,11.3,4,70,55,15,345,1195,1045,150,110,20,10,20,0
5370080.01,80.01,3.4,4.5,80,50,25,655,2260,1735,520,370,75,40,35,0
5370080.03,80.03,9.4,9.1,310,265,45,1890,6215,4385,1785,440,185,335,665,155
5370080.05,80.05,7,4.8,320,270,50,1970,6990,5170,1790,505,305,545,340,95
5370080.06,80.06,3.9,3.6,225,180,45,1495,4970,4080,885,320,180,170,175,45
5370080.07,80.07,5.9,5.2,135,110,30,910,3095,2275,790,225,160,160,210,35
5370081.00,81,8.8,6.3,115,95,25,675,2315,1765,530,275,30,125,60,40
5370082.00,82,14.2,8.3,220,185,35,995,3460,2575,880,425,80,140,145,85
5370083.00,83,15.6,7.6,155,125,35,675,2295,1690,555,200,50,160,85,65
5370084.01,84.01,5.9,7.9,150,100,50,820,2635,1680,925,520,90,145,115,50
5370084.02,84.02,7.5,7.6,175,130,40,925,2990,2065,885,500,85,160,120,20
5370084.03,84.03,4.7,6.3,90,70,20,650,2115,1405,710,435,65,135,75,0
5370084.04,84.04,6.1,5.3,90,70,10,570,1830,1465,365,210,30,85,25,10
5370084.05,84.05,3.7,4.1,105,75,25,885,2870,1760,1105,660,85,190,140,25
5370085.01,85.01,3.9,4.8,145,110,30,1275,4225,2795,1430,910,160,255,75,35
5370085.02,85.02,5.4,6.2,295,230,60,1940,6530,4370,2130,880,295,535,345,75
5370085.03,85.03,8.2,6.8,140,95,45,1260,3920,2835,1040,375,165,190,250,55
5370086.00,86,4.2,5.2,305,235,70,2820,9715,7380,2305,840,350,515,465,140
5370100.01,100.01,4.3,4.9,330,265,60,2845,9630,7140,2425,480,320,670,635,320
5370100.02,100.02,2,5.1,235,195,40,2365,7890,6510,1360,455,200,295,270,145
5370101.01,101.01,3.8,4.6,235,190,40,2445,7805,6160,1620,990,165,160,210,95
5370101.02,101.02,1.9,4,140,95,35,1370,4650,3900,720,415,85,110,95,10
5370120.02,120.02,3.2,2.9,60,40,20,625,2170,1810,345,240,25,45,10,20
5370120.03,120.03,7.5,6.5,225,180,50,1975,6835,4350,2300,545,360,405,735,255
5370120.04,120.04,9.1,6.1,195,155,45,1675,6060,3370,2475,470,235,705,890,175
5370121.00,121,1.7,2.4,40,25,15,525,1810,1605,205,130,30,25,25,0
5370122.01,122.01,4.2,4.4,210,165,45,1615,5385,4365,975,465,120,140,155,90
5370122.02,122.02,3.1,3.7,225,175,50,1975,6545,5260,1260,660,190,175,180,50
5370123.00,123,4.5,5.5,205,160,50,2275,7505,6025,1465,775,135,215,240,110
5370124.00,124,4.8,6.5,120,100,20,1145,3645,2770,860,495,60,135,135,35
5370130.02,130.02,3.3,5.6,110,75,35,1185,3815,3120,685,475,80,50,50,30
5370130.03,130.03,8.5,4.4,195,155,35,990,3150,2515,615,350,30,80,100,60
5370131.00,131,6.4,6,185,130,55,1345,4585,3810,730,415,115,55,130,15
5370132.00,132,11.2,4.7,135,95,45,765,2840,2350,480,345,55,50,25,10
5370133.01,133.01,2.8,5.8,145,115,30,1030,3495,2640,820,365,110,145,155,45
5370133.02,133.02,8.5,5.9,305,260,45,1645,5625,4695,905,590,65,70,115,65
5370140.02,140.02,5.7,4.7,360,280,80,2480,8380,6865,1490,555,205,235,350,150
5370140.03,140.03,2.8,3.7,275,210,60,2250,7450,6340,1085,455,180,180,170,95
5370140.04,140.04,3.3,3.7,120,95,25,1105,3740,3195,525,265,65,90,85,25
5370141.00,141,4,3.6,125,90,30,1225,4040,3300,730,435,105,95,50,50
5370142.01,142.01,1.7,5.4,105,70,35,1155,3805,3380,420,290,40,40,35,15
5370142.02,142.02,2.2,3.5,75,60,15,1260,3800,3245,545,440,45,35,25,0
5370143.00,143,2.2,2.9,115,75,40,1135,3860,3485,375,260,50,20,45,0
5370144.01,144.01,2,4.3,95,70,25,1525,5185,4515,635,365,110,40,60,55
5370144.02,144.02,2.1,3.1,50,30,25,565,1780,1505,270,175,20,50,20,0
5370200.00,200,2.1,7.3,60,40,20,830,2640,2055,585,335,75,55,90,25
5370201.00,201,4.7,4.3,175,130,45,1065,3410,2780,630,345,85,105,80,15
5370202.00,202,5.7,5.9,205,155,50,1910,6020,4670,1315,850,140,145,135,55
5370203.00,203,5.6,8.3,80,60,15,810,2530,1970,540,320,80,35,80,25
5370204.00,204,10.9,7.1,340,265,75,1495,5190,3920,1220,320,155,135,300,315
5370205.01,205.01,4.7,5.9,160,130,30,985,3285,2365,910,370,125,200,140,70
5370205.02,205.02,11.2,6.4,305,260,40,1450,5040,3475,1520,800,120,220,180,205
5370206.00,206,13.2,8.4,190,145,45,965,3645,2690,905,460,70,85,180,115
5370207.01,207.01,7.1,5.9,320,265,55,1980,6520,5130,1385,580,100,235,370,95
5370207.02,207.02,3,3.8,240,200,40,1810,6065,4900,1150,455,185,235,235,45
5370207.03,207.03,3.9,3.4,165,130,40,1205,3805,2890,890,505,110,70,110,95
5370207.04,207.04,6,5.4,135,105,30,760,2550,1985,560,280,45,95,140,0
5370208.00,208,7.6,7.2,190,155,35,915,3075,2640,435,175,50,55,75,80
5370209.00,209,4.1,2.4,85,70,20,500,1545,1245,295,145,55,30,55,15
5370210.00,210,8.2,7.7,165,135,30,675,2380,1950,430,135,80,65,125,30
5370211.00,211,10,5.6,185,140,45,840,3030,2320,710,225,95,105,125,155
5370212.00,212,8.2,5.6,75,55,15,460,1635,1375,250,120,35,30,50,10
5370213.00,213,8.9,6.2,140,115,25,995,3635,2905,715,445,55,45,75,90
5370214.00,214,7.3,4.7,135,105,30,780,2665,2135,515,315,35,50,50,75
5370215.00,215,9.9,6.8,145,110,35,785,2650,2055,585,290,55,65,95,80
